Attr1,Attr2,Attr3,Attr4,Class
2.30,7.37,6.64,8.11,1
8.21,9.52,1.55,2.78,0
3.60,3.09,5.37,0.76,1
4.68,2.92,1.83,8.06,1
9.45,4.19,7.34,3.40,0
7.92,2.44,6.79,7.85,0
6.94,4.71,8.62,2.08,0
5.51,5.18,5.61,4.06,1
8.63,9.93,1.69,7.06,0
8.96,9.00,0.13,0.91,0
4.35,8.95,1.56,5.35,0
1.85,1.67,1.63,5.10,1
8.90,8.87,1.56,1.29,0
9.44,3.25,9.72,9.37,0
0.11,2.16,5.68,2.43,1
2.42,7.90,9.73,4.92,1
2.23,6.36,8.09,3.01,1
4.70,2.92,5.06,8.22,1
0.15,8.91,1.42,8.60,0
9.92,9.62,0.69,8.33,0
7.81,0.63,9.61,7.26,0
2.23,5.93,5.39,1.99,1
6.73,3.23,6.94,0.71,0
5.57,2.84,6.53,3.91,0
0.82,3.82,1.30,9.92,1
6.44,9.85,1.29,2.50,0
7.88,8.46,0.34,6.35,0
5.33,6.53,5.81,0.98,1
0.50,6.81,8.78,3.12,1
7.99,9.20,0.17,7.33,0
8.24,8.91,0.09,8.59,0
6.66,8.56,2.40,6.49,0
8.55,8.07,2.53,4.36,0
2.46,9.23,2.29,6.57,0
0.47,7.69,6.01,1.53,1
0.29,7.83,4.04,9.28,1
1.50,6.06,6.12,6.93,1
1.99,5.72,8.89,6.02,1
4.10,8.05,0.30,6.62,0
6.98,2.69,7.39,8.47,0
8.76,8.55,1.57,6.98,0
9.48,7.44,6.86,7.30,1
4.85,0.68,2.77,6.36,1
1.46,6.81,9.37,4.24,1
2.64,8.69,1.02,6.74,0
0.91,1.49,1.14,0.40,1
9.62,5.29,8.31,5.88,1
9.37,8.02,1.68,9.88,0
0.48,3.73,1.19,2.22,1
7.63,6.65,5.00,4.51,1
1.96,5.29,8.60,9.44,1
5.19,5.97,7.23,4.76,1
5.97,3.23,6.29,0.67,0
4.50,9.22,1.35,6.28,0
7.65,3.32,9.44,3.95,0
6.46,0.99,8.58,7.40,0
2.44,0.56,1.94,2.71,1
6.87,9.16,1.84,3.52,0
8.05,8.15,1.86,0.78,0
3.32,4.39,1.05,2.00,1
6.54,6.69,6.74,9.16,1
5.63,0.12,9.53,1.99,0
8.50,0.75,9.11,1.76,0
1.76,6.04,6.88,4.93,1
5.60,7.53,3.55,7.05,1
1.89,5.93,8.47,4.80,1
6.96,7.52,5.90,4.78,1
4.85,8.91,1.26,8.04,0
3.85,9.49,2.01,6.02,0
4.89,7.19,7.54,2.74,1
2.44,9.89,1.86,5.22,0
6.32,7.71,3.65,3.11,1
1.39,8.97,2.49,8.10,0
2.92,4.92,2.70,4.55,1
1.73,2.27,4.46,8.61,1
4.80,0.59,7.57,3.63,1
8.56,1.51,7.47,3.02,0
6.34,5.45,5.81,8.41,1
3.42,4.70,1.67,8.07,1
2.14,9.48,1.19,5.79,0
1.79,9.53,1.27,2.46,0
2.97,1.20,3.19,7.15,1
9.71,6.74,7.76,6.69,1
0.09,5.98,5.87,3.87,1
9.65,6.52,5.35,1.30,1
9.40,9.46,2.32,3.57,0
0.34,4.70,0.80,7.67,1
3.44,8.09,2.17,0.53,0
5.95,4.82,6.99,8.81,0
8.64,9.51,1.94,5.41,0
6.20,5.67,7.63,3.08,1
1.40,1.37,1.20,4.89,1
8.86,7.70,5.66,1.17,1
8.58,8.33,2.16,2.65,0
7.54,1.81,7.55,6.84,0
2.80,2.79,4.70,2.51,1
5.46,4.31,6.10,2.01,0
6.11,6.45,5.59,6.27,1
3.81,7.88,3.81,3.36,1
0.92,1.23,3.23,8.10,1
4.99,9.83,1.37,3.60,0
2.43,4.07,4.43,5.78,1
9.80,8.75,1.64,4.70,0
9.92,9.79,0.48,6.78,0
3.84,8.77,2.69,7.35,0
0.98,0.38,0.64,4.66,1
4.69,2.87,0.44,8.09,1
4.64,1.27,0.84,9.53,1
5.06,9.87,0.07,2.27,0
3.67,9.43,1.03,3.55,0
1.40,5.14,9.99,3.77,1
7.99,1.87,7.82,6.10,0
5.23,7.22,6.24,9.22,1
1.77,1.50,1.79,7.54,1
7.55,9.76,1.99,3.53,0
8.12,5.41,9.17,8.55,1
5.74,0.53,9.67,9.00,0
8.09,4.39,7.76,9.99,0
7.39,3.80,7.30,4.26,0
1.99,9.97,0.11,5.69,0
9.16,9.61,0.06,6.79,0
3.74,7.66,9.92,5.26,1
1.99,5.51,7.85,6.22,1
3.75,9.73,0.91,2.59,0
9.17,9.94,1.33,2.42,0
5.91,3.43,7.15,0.54,0
0.50,8.97,0.01,2.83,0
4.18,7.63,8.64,3.70,1
4.86,6.26,7.92,0.57,1
0.50,8.22,1.46,8.95,0
7.21,1.35,8.40,2.96,0
7.14,2.20,9.37,8.74,0
5.65,7.18,8.09,2.91,1
