ID,  Milk,PetFood,Veggies,Cereal,  Nuts,  Rice,  Meat,  Eggs,Yogurt, Chips,  Beer, Fruit
1,8,4,6,9,2,6,2,3,6,2,5,4
2,8,4,5,9,5,6,6,7,7,1,1,5
3,7,5,9,10,5,7,7,8,5,1,3,2
4,6,4,5,9,9,2,6,4,4,6,9,0
5,5,4,5,10,2,9,4,6,4,1,3,7
6,9,2,5,8,4,7,1,6,3,0,2,5
7,2,2,9,6,7,10,0,2,10,1,1,5
8,9,7,8,8,3,6,4,8,7,2,2,6
9,3,7,10,4,10,7,0,1,9,3,0,6
10,2,6,10,6,8,7,0,0,9,0,1,8
11,8,3,9,10,4,8,5,7,4,3,5,7
12,6,6,6,6,9,4,5,6,4,7,8,0
13,4,6,10,5,6,10,0,2,6,2,1,9
14,6,4,5,9,8,2,5,4,3,6,10,1
15,9,4,5,10,4,7,4,6,2,4,1,5
16,9,8,9,10,4,9,7,7,4,2,4,6
17,2,6,9,8,7,9,1,2,9,1,0,6
18,2,5,10,5,8,8,1,2,7,3,0,9
19,9,5,7,9,7,8,4,7,5,3,3,2
20,1,6,10,7,5,8,1,2,9,2,2,6
21,6,6,5,9,7,1,7,5,3,6,9,2
22,8,4,6,9,5,2,2,4,5,9,8,3
23,4,5,4,6,9,1,6,4,3,8,8,2
24,7,5,8,10,0,6,4,7,4,4,0,6
25,10,5,8,10,6,7,5,5,6,4,3,6
26,1,6,10,8,8,8,0,1,3,2,0,5
27,0,5,10,8,9,9,2,1,4,3,1,5
28,0,4,10,5,6,8,0,1,9,1,4,6
29,8,5,4,8,6,1,6,2,3,5,8,1
30,0,8,8,5,8,9,0,2,8,0,0,5
31,3,5,9,8,5,9,0,3,5,1,2,10
32,1,3,9,6,7,10,1,0,7,0,2,6
33,8,6,5,8,6,2,3,5,4,6,9,2
34,9,3,7,10,5,7,3,5,7,4,3,5
35,10,4,6,10,3,6,2,7,7,2,2,5
36,9,4,8,10,2,9,7,3,5,3,3,5
37,9,5,9,9,4,7,3,7,3,1,5,6
38,7,5,6,9,4,9,6,8,6,1,3,2
39,9,4,10,10,4,8,4,7,6,5,3,4
40,9,6,10,10,1,10,3,7,6,0,4,6
41,1,5,10,4,7,7,0,5,8,4,2,6
42,10,5,8,10,3,6,5,8,6,1,4,5
43,5,8,6,7,7,5,6,4,6,7,7,1
44,6,5,4,10,8,1,6,5,5,6,10,1
45,8,5,5,9,6,4,6,2,2,10,7,0
46,6,4,9,7,4,5,3,4,8,5,2,3
47,2,5,9,4,8,7,0,4,8,2,0,7
48,1,9,10,6,6,8,0,1,9,2,0,6
49,8,4,9,9,5,4,4,7,3,3,3,5
50,1,5,10,8,9,8,1,1,8,3,3,7
51,8,5,6,9,1,6,4,4,4,4,1,4
52,2,6,10,7,5,9,1,0,8,1,0,7
53,9,4,7,10,5,6,2,8,7,2,3,4
54,8,6,5,9,8,1,5,5,3,3,10,1
55,10,5,6,8,4,8,7,5,5,4,4,0
56,1,4,9,6,8,6,0,0,7,2,2,7
57,3,4,10,6,6,8,1,2,7,3,2,8
58,8,6,10,8,4,3,6,8,5,1,4,6
59,1,4,10,6,7,9,0,4,8,4,1,8
60,2,5,6,10,6,3,6,6,3,7,6,0
61,7,4,7,8,2,6,2,3,3,2,5,4
62,9,2,9,9,6,10,6,8,5,2,1,4
63,1,3,10,7,9,8,1,0,9,3,1,6
64,8,8,9,10,1,6,4,7,3,3,3,5
65,7,5,9,10,6,7,4,4,2,1,4,6
66,10,4,7,9,5,6,3,8,5,0,5,4
67,0,6,9,2,8,6,0,3,7,1,0,8
68,9,7,8,10,3,7,3,6,7,2,1,4
69,1,6,10,7,5,6,0,3,9,4,1,9
70,9,6,6,10,4,6,2,4,5,2,3,6
71,8,4,8,9,9,1,6,8,5,6,8,3
72,0,2,9,4,5,7,2,3,8,2,1,7
73,4,8,3,7,8,4,5,6,4,7,9,1
74,8,4,9,9,6,6,5,8,6,4,2,6
75,8,6,9,9,6,7,3,6,6,1,3,6
76,4,8,7,10,6,1,6,4,3,4,5,2
77,9,6,7,9,2,8,5,4,5,3,2,5
78,2,8,9,6,7,10,2,2,7,2,1,10
79,2,6,9,6,7,8,0,0,7,1,0,4
80,10,7,8,10,5,7,4,7,9,2,1,6
81,7,9,8,9,3,7,4,9,7,2,3,2
82,8,5,10,8,6,7,3,5,6,6,2,8
83,8,4,7,7,4,6,5,5,7,2,4,6
84,5,4,4,9,8,1,7,7,3,6,6,3
85,9,5,9,9,6,7,4,5,5,2,1,5
86,8,6,8,9,7,9,3,5,3,4,2,6
87,8,6,7,9,4,6,6,7,3,2,3,3
88,9,7,8,10,1,5,3,8,5,3,1,5
89,7,5,8,8,5,6,3,6,7,3,6,8
90,10,3,6,10,4,9,4,6,7,2,3,4
91,8,5,7,10,3,5,1,6,4,2,4,4
92,9,5,10,9,5,5,6,8,6,3,5,3
93,1,2,9,8,7,6,0,1,5,2,1,5
94,2,4,9,8,4,8,0,2,8,0,1,5
95,1,4,10,4,6,9,0,2,8,2,2,7
96,9,7,8,10,1,7,4,7,7,2,5,6
97,3,7,9,5,6,9,2,3,8,2,2,5
98,2,2,10,8,7,9,0,3,7,2,1,9
99,10,2,7,8,4,7,3,3,6,2,4,4
100,1,3,10,6,9,7,0,1,8,0,1,9
